LatMin,LonMin,LatMax,LonMax,class
32.74257,121.3832,32.7449,121.3878,WIND
32.7449,121.3884,32.74832,121.393,WIND
32.74832,121.3947,32.75083,121.3988,WIND
32.75119,121.3995,32.75407,121.4042,WIND
32.75371,121.4056,32.75658,121.4099,WIND
32.75622,121.4105,32.75928,121.4151,WIND
32.7591,121.416,32.76233,121.4211,WIND
32.75982,121.4435,32.76269,121.4482,WIND
32.75964,121.452,32.76233,121.4561,WIND
32.75964,121.4588,32.76233,121.4633,WIND
32.76,121.4669,32.76233,121.4708,WIND
32.76,121.4737,32.76287,121.4782,WIND
32.76,121.4816,32.76323,121.4856,WIND
32.75982,121.4888,32.76287,121.4926,WIND
32.76053,121.4965,32.76305,121.4998,WIND
32.75982,121.5037,32.76269,121.5078,WIND
32.74508,121.4451,32.74778,121.4487,WIND
32.74562,121.4521,32.74832,121.4556,WIND
32.74562,121.4599,32.74814,121.464,WIND
32.74562,121.4685,32.74814,121.4728,WIND
32.73125,121.4457,32.73376,121.4503,WIND
32.73071,121.4527,32.73358,121.4568,WIND
32.73107,121.4606,32.73376,121.4649,WIND
32.71059,121.4471,32.7131,121.4514,WIND
32.69586,121.4482,32.69837,121.4523,WIND
32.69514,121.4557,32.69783,121.46,WIND
32.71095,121.4561,32.71346,121.4609,WIND
32.6955,121.4629,32.69855,121.4678,WIND
32.69568,121.4705,32.69837,121.4753,WIND
32.69532,121.4777,32.69873,121.4827,WIND
32.69586,121.4857,32.69855,121.4893,WIND
32.69586,121.4927,32.69873,121.4971,WIND
32.71131,121.4649,32.71382,121.4694,WIND
32.71059,121.4753,32.71364,121.4795,WIND
32.73107,121.4694,32.73358,121.4728,WIND
32.74526,121.4777,32.74832,121.4812,WIND
32.73089,121.4771,32.73376,121.4818,WIND
32.73089,121.4856,32.73376,121.4899,WIND
32.7458,121.4868,32.74832,121.4911,WIND
32.73089,121.4942,32.73376,121.4981,WIND
32.71113,121.4843,32.714,121.4883,WIND
32.71113,121.4931,32.71382,121.4976,WIND
32.71113,121.5023,32.71382,121.5066,WIND
32.69837,121.4998,32.70142,121.5041,WIND
32.70088,121.5071,32.70376,121.5114,WIND
32.71113,121.5116,32.71436,121.5157,WIND
32.71113,121.521,32.714,121.5253,WIND
32.71184,121.531,32.71436,121.5351,WIND
32.71131,121.54,32.71418,121.5443,WIND
32.73125,121.5021,32.73376,121.5068,WIND
32.74562,121.4962,32.7485,121.4999,WIND
32.76017,121.5122,32.76287,121.5156,WIND
32.76017,121.519,32.76305,121.5226,WIND
32.74544,121.5048,32.74832,121.5086,WIND
32.73143,121.5109,32.73376,121.5147,WIND
32.73143,121.5192,32.73376,121.5228,WIND
32.7458,121.5141,32.74868,121.5177,WIND
32.75982,121.5265,32.76323,121.5301,WIND
32.76,121.5344,32.76287,121.5377,WIND
32.7458,121.5231,32.74921,121.5269,WIND
32.73143,121.5276,32.73394,121.5321,WIND
32.73107,121.5353,32.7343,121.5398,WIND
32.74562,121.5325,32.7485,121.5371,WIND
32.74526,121.5411,32.74903,121.5454,WIND
32.76035,121.5416,32.76359,121.5457,WIND
32.76017,121.5486,32.76359,121.5529,WIND
32.76017,121.5567,32.76377,121.5608,WIND
32.76035,121.5639,32.76377,121.5677,WIND
32.76089,121.5714,32.76377,121.5752,WIND
32.76053,121.5792,32.76359,121.5829,WIND
32.76089,121.5864,32.76395,121.5905,WIND
32.74634,121.5502,32.74921,121.5546,WIND
32.73143,121.5425,32.73448,121.547,WIND
32.73107,121.5508,32.73448,121.5553,WIND
32.73179,121.5585,32.73448,121.5626,WIND
32.73179,121.5661,32.73466,121.5702,WIND
32.74616,121.5578,32.74903,121.5623,WIND
32.74616,121.5644,32.74939,121.5698,WIND
32.74616,121.5727,32.74903,121.5768,WIND
32.73179,121.5725,32.73466,121.5772,WIND
32.73197,121.5802,32.73466,121.5842,WIND
32.73161,121.5874,32.73484,121.5916,WIND
32.74562,121.5795,32.74957,121.5838,WIND
32.7467,121.5867,32.75011,121.5914,WIND
32.76071,121.5934,32.76395,121.5977,WIND
32.74688,121.5941,32.74957,121.5975,WIND
32.73179,121.5937,32.73502,121.598,WIND
32.6928,121.6424,32.69568,121.6467,WIND
32.69082,121.6383,32.6937,121.6419,WIND
32.68939,121.6338,32.69226,121.6374,WIND
32.68813,121.6289,32.69136,121.6327,WIND
32.68651,121.6243,32.69011,121.6284,WIND
32.68507,121.6198,32.68831,121.6234,WIND
32.684,121.6151,32.68687,121.6189,WIND
32.68256,121.6104,32.68543,121.6138,WIND
32.68076,121.6059,32.68382,121.6095,WIND
32.67897,121.6013,32.6822,121.6054,WIND
32.67753,121.5971,32.68076,121.6002,WIND
32.67609,121.5921,32.67951,121.5959,WIND
32.67483,121.5876,32.67807,121.5908,WIND
32.67304,121.5828,32.67681,121.5865,WIND
32.67178,121.5786,32.67555,121.582,WIND
32.6707,121.5741,32.67412,121.5774,WIND
32.66909,121.5696,32.6725,121.5731,WIND
32.66765,121.565,32.67106,121.5684,WIND
32.66657,121.5601,32.6698,121.5637,WIND
32.66495,121.5562,32.66765,121.5592,WIND
32.66334,121.5508,32.66675,121.5544,WIND
32.6619,121.5465,32.66531,121.5499,WIND
32.66046,121.542,32.66387,121.5452,WIND
32.6592,121.5375,32.66208,121.5409,WIND
32.65723,121.5332,32.66064,121.5366,WIND
32.67789,121.6534,32.68112,121.6559,WIND
32.67681,121.6464,32.68022,121.6501,WIND
32.67483,121.6408,32.67825,121.6446,WIND
32.67322,121.635,32.67627,121.6386,WIND
32.67178,121.6293,32.67466,121.6327,WIND
32.67016,121.623,32.6734,121.627,WIND
32.66855,121.6171,32.67106,121.6208,WIND
32.66621,121.6117,32.66962,121.6151,WIND
32.66459,121.6058,32.66783,121.6095,WIND
32.66244,121.5998,32.66621,121.6038,WIND
32.66154,121.5943,32.66423,121.5977,WIND
32.65956,121.5878,32.66244,121.5916,WIND
32.65795,121.5824,32.66082,121.5858,WIND
