imageName,X,Y,W,H,Lon,Lat
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,10070,9623,50,64,129.319210282719,34.7997722983336
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8478,8122,12,13,129.029773098176,35.0739381230468
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8471,8141,13,15,129.028695119835,35.0703448619103
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8513,8141,15,15,129.036420631278,35.0703448619103
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8474,8171,11,10,129.029054445948,35.0654939593761
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8533,8170,11,10,129.039654566301,35.0656736224329
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8569,8174,12,11,129.046122436347,35.0647753071488
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8739,7996,13,17,129.076844819063,35.096216342093
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8769,8031,12,13,129.082055047711,35.0902874612178
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8794,8044,11,13,129.086546624132,35.0879518414791
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8814,8055,10,11,129.089960222212,35.0861552109109
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8535,8204,12,6,129.040013892415,35.0599244046146
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8610,8171,8,11,129.053129295563,35.0653142963193
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8647,8203,11,8,129.060136154779,35.0599244046146
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8608,8198,9,9,129.052949632506,35.0606430568419
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8479,8196,9,7,129.029773098176,35.0611820460123
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8650,8227,10,10,129.060495480892,35.055432828194
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8681,8218,13,12,129.066424361768,35.0568701326486
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8576,8228,13,13,129.047559740801,35.0548938390235
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8616,8233,8,7,129.054207273904,35.0545345129098
S1A_IW_GRDH_1SDV_20231209T092333_20231209T092402_051576_0639F8_652A.tif,8647,8261,11,9,129.060136154779,35.049324284262
