LatMin,LonMin,LatMax,LonMax,class
34.48752,120.1095,34.49094,120.1138,WIND
34.48501,120.1141,34.48896,120.1181,WIND
34.48303,120.1181,34.48716,120.1215,WIND
34.48141,120.1215,34.48555,120.1255,WIND
34.47674,120.1053,34.4798,120.1091,WIND
34.47351,120.112,34.47692,120.1159,WIND
34.46506,120.1014,34.4683,120.1053,WIND
34.43524,120.0478,34.43704,120.0516,WIND
34.40883,120.1583,34.41152,120.1619,WIND
34.41296,120.1641,34.4162,120.1679,WIND
34.41745,120.1697,34.42033,120.1733,WIND
34.42195,120.1754,34.425,120.1788,WIND
34.42644,120.1806,34.42931,120.1842,WIND
34.40182,120.17,34.40506,120.1734,WIND
34.40613,120.1756,34.40937,120.1792,WIND
34.41027,120.1812,34.41314,120.1851,WIND
34.41476,120.1867,34.41799,120.1905,WIND
34.41961,120.1923,34.42284,120.1959,WIND
34.39338,120.1835,34.39661,120.1867,WIND
34.39751,120.1891,34.40092,120.1925,WIND
34.40164,120.1948,34.4047,120.198,WIND
34.40577,120.2002,34.40973,120.2036,WIND
34.41081,120.206,34.41404,120.2092,WIND
34.38475,120.1964,34.38763,120.2,WIND
34.38907,120.2016,34.39248,120.2058,WIND
34.3932,120.2077,34.39643,120.2113,WIND
34.39769,120.2133,34.40057,120.2171,WIND
34.40236,120.2189,34.40542,120.2225,WIND
34.37811,120.2068,34.38116,120.2104,WIND
34.38206,120.2126,34.38547,120.2164,WIND
34.38601,120.2183,34.38907,120.2219,WIND
34.39068,120.2243,34.39356,120.2273,WIND
34.39518,120.2291,34.39895,120.2327,WIND
34.5089,120.2501,34.51303,120.2546,WIND
34.5089,120.2575,34.51303,120.262,WIND
34.5089,120.2643,34.51303,120.2688,WIND
34.50872,120.2721,34.51232,120.2762,WIND
34.50926,120.2789,34.5125,120.2834,WIND
34.50908,120.2864,34.5125,120.2909,WIND
34.50908,120.2942,34.51232,120.2987,WIND
34.5089,120.3017,34.51214,120.3062,WIND
34.5089,120.31,34.5125,120.3136,WIND
34.50908,120.3172,34.51321,120.3213,WIND
34.50872,120.3247,34.51303,120.3288,WIND
34.50908,120.3324,34.51232,120.3367,WIND
34.50854,120.3405,34.51214,120.3438,WIND
34.50854,120.3479,34.51285,120.3515,WIND
34.50836,120.3551,34.51285,120.359,WIND
34.5089,120.3624,34.5125,120.366,WIND
34.50872,120.3705,34.51214,120.3741,WIND
34.50836,120.3779,34.51267,120.3815,WIND
34.50836,120.3856,34.5125,120.3888,WIND
34.50818,120.3933,34.51196,120.3966,WIND
34.50872,120.4007,34.51267,120.4039,WIND
34.52238,120.3033,34.52579,120.3069,WIND
34.52309,120.3102,34.52723,120.3136,WIND
34.52274,120.3188,34.52723,120.3218,WIND
34.52309,120.3274,34.52669,120.3306,WIND
34.52256,120.3355,34.52705,120.3389,WIND
34.52256,120.3459,34.52633,120.3491,WIND
34.52345,120.3563,34.52669,120.3596,WIND
34.52256,120.3664,34.52741,120.3703,WIND
34.52327,120.3766,34.52705,120.38,WIND
34.52309,120.3854,34.52669,120.3887,WIND
34.52327,120.3935,34.52669,120.3969,WIND
34.52309,120.4018,34.52633,120.4052,WIND
